2025-08-30 07:36:57,844 [INFO] === Results ===
2025-08-30 07:36:57,845 [INFO] TP: 1411
2025-08-30 07:36:57,845 [INFO] FP: 355
2025-08-30 07:36:57,845 [INFO] TN: 40023
2025-08-30 07:36:57,845 [INFO] FN: 11143
2025-08-30 07:36:57,845 [INFO] precision: 0.7989807474518686
2025-08-30 07:36:57,845 [INFO] recall: 0.11239445595029472
2025-08-30 07:37:20,467 [INFO] === Results ===
2025-08-30 07:37:20,467 [INFO] TP: 1155
2025-08-30 07:37:20,468 [INFO] FP: 116
2025-08-30 07:37:20,468 [INFO] TN: 40262
2025-08-30 07:37:20,468 [INFO] FN: 11399
2025-08-30 07:37:20,468 [INFO] precision: 0.9087332808811959
2025-08-30 07:37:20,468 [INFO] recall: 0.09200254898837024
2025-08-30 07:37:23,172 [INFO] === Results ===
2025-08-30 07:37:23,172 [INFO] TP: 1306
2025-08-30 07:37:23,172 [INFO] FP: 240
2025-08-30 07:37:23,172 [INFO] TN: 40138
2025-08-30 07:37:23,172 [INFO] FN: 11248
2025-08-30 07:37:23,172 [INFO] precision: 0.8447606727037517
2025-08-30 07:37:23,173 [INFO] recall: 0.10403058786044289
2025-08-30 07:37:25,877 [INFO] === Results ===
2025-08-30 07:37:25,878 [INFO] TP: 1411
2025-08-30 07:37:25,878 [INFO] FP: 355
2025-08-30 07:37:25,878 [INFO] TN: 40023
2025-08-30 07:37:25,878 [INFO] FN: 11143
2025-08-30 07:37:25,878 [INFO] precision: 0.7989807474518686
2025-08-30 07:37:25,878 [INFO] recall: 0.11239445595029472
2025-08-30 07:37:28,730 [INFO] === Results ===
2025-08-30 07:37:28,730 [INFO] TP: 1538
2025-08-30 07:37:28,730 [INFO] FP: 454
2025-08-30 07:37:28,730 [INFO] TN: 39924
2025-08-30 07:37:28,730 [INFO] FN: 11016
2025-08-30 07:37:28,730 [INFO] precision: 0.7720883534136547
2025-08-30 07:37:28,730 [INFO] recall: 0.12251075354468695
2025-08-30 07:37:31,501 [INFO] === Results ===
2025-08-30 07:37:31,501 [INFO] TP: 1651
2025-08-30 07:37:31,501 [INFO] FP: 552
2025-08-30 07:37:31,501 [INFO] TN: 39826
2025-08-30 07:37:31,501 [INFO] FN: 10903
2025-08-30 07:37:31,501 [INFO] precision: 0.7494325919201089
2025-08-30 07:37:31,501 [INFO] recall: 0.13151186872709894
2025-08-30 07:37:34,223 [INFO] === Results ===
2025-08-30 07:37:34,223 [INFO] TP: 1771
2025-08-30 07:37:34,223 [INFO] FP: 644
2025-08-30 07:37:34,223 [INFO] TN: 39734
2025-08-30 07:37:34,223 [INFO] FN: 10783
2025-08-30 07:37:34,223 [INFO] precision: 0.7333333333333333
2025-08-30 07:37:34,223 [INFO] recall: 0.14107057511550103
2025-08-30 07:37:36,923 [INFO] === Results ===
2025-08-30 07:37:36,923 [INFO] TP: 1878
2025-08-30 07:37:36,923 [INFO] FP: 737
2025-08-30 07:37:36,923 [INFO] TN: 39641
2025-08-30 07:37:36,923 [INFO] FN: 10676
2025-08-30 07:37:36,923 [INFO] precision: 0.7181644359464627
