ablation,our_model_f1_score,ablation_f1_score,delta_f1_score,our_model_auc,ablation_auc,delta_auc,our_model_precision,ablation_precision,delta_precision,our_model_recall,ablation_recall,delta_recall
no_calibration,0.8656210941962726,0.8635725085219643,-0.002048585674308323,0.9898320961897858,0.9898320961897858,0.0,0.8096522154104282,0.8104657074739202,0.0008134920634920162,0.9317838242959737,0.9267405966302678,-0.005043227665705974
learned_weights,0.8656210941962726,0.8484746141795558,-0.017146480016716814,0.9898320961897858,0.9904097035936055,0.0005776074038196244,0.8096522154104282,0.8159632026434929,0.006310987233064669,0.9317838242959737,0.8840719648502255,-0.047711859445748184
no_ckd_order,0.8656210941962726,0.8669520311013843,0.001330936905111657,0.9898320961897858,0.9908180056463626,0.000985909456576728,0.8096522154104282,0.8271040853614077,0.01745186995097947,0.9317838242959737,0.9192990586467611,-0.012484765649212637
