dataset,our_model_f1_score,ablation_f1_score,our_model_auc,ablation_auc,our_model_precision,ablation_precision,our_model_recall,ablation_recall
COSI_Balloon,0.27272727272727276,0.15384615384615383,0.9790229621125144,0.9819242250287027,0.21951219512195122,0.14814814814814814,0.36,0.16
GeACT,0.8613138686131386,0.8305954825462011,0.9821153810289448,0.9833077527192785,0.7818021201413428,0.7892682926829269,0.9588299024918743,0.8764897074756229
Max,0.893486590038314,0.8629032258064516,0.9912134501631314,0.9918116539491949,0.8316690442225392,0.8411949685534591,0.9652317880794702,0.8857615894039735
NCT,0.8788296041308089,0.8745570517363571,0.9890453815994055,0.9896095659431866,0.8112488083889419,0.827910097282791,0.9586932031543373,0.9267743146826887
SPILike,0.8288543140028288,0.8258426966292135,0.9969541719676616,0.996909841762762,0.8138888888888889,0.8054794520547945,0.8443804034582133,0.8472622478386167
mean (excl. COSI_Balloon),0.8656210941962726,0.8484746141795558,0.9898320961897858,0.9904097035936055,0.8096522154104282,0.8159632026434929,0.9317838242959737,0.8840719648502255
