dataset,split,geo_file,sim_file,tra_file,tp,fp,fn,tn,excluded,precision,recall,fpr,f1_score,best_f1,auc,rho_floor_1,rho_floor_2,rho_floor_3,joint_smoothing,marginal_smoothing,selection_accepted,cv_auc,threshold_offset,threshold_moved
COSI_Balloon,train,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,59,53,34,69619,0,0.5267857142857143,0.6344086021505376,0.0007607073142725916,0.575609756097561,0.35260115606936415,0.9966607742330577,0.31999999968000004,0.890624999109375,0.022857142834285714,0.5,0.0,False,0.9946768342816709,-1.6205153465270996,True
COSI_Balloon,eval,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,9,32,16,17388,0,0.21951219512195122,0.36,0.0018369690011481056,0.27272727272727276,0.19138755980861244,0.9790229621125144,0.31999999968000004,0.890624999109375,0.022857142834285714,0.5,0.0,False,0.9946768342816709,-1.6205153465270996,True
GeACT,train,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,3572,953,115,26251,0,0.7893922651933701,0.9688093300786548,0.03503161299808852,0.8699464198733561,0.8702722680793397,0.990241921258967,0.11999999988,1.9843749980156251,2.903673466484082,0.5,0.0,False,0.9845516954902596,0.0,False
GeACT,eval,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,879,255,44,6549,0,0.7751322751322751,0.952329360780065,0.03747795414462081,0.8546426835196889,0.8547838756677999,0.9842239572286521,0.11999999988,1.9843749980156251,2.903673466484082,0.5,0.0,False,0.9845516954902596,0.0,False
Max,train,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,2338,543,72,23422,0,0.8115237764665046,0.9701244813278008,0.02265804297934488,0.8837648837648837,0.8860465116279069,0.9941305136380596,0.23999999976,3.265624996734375,1.7918367329020408,0.5,0.0,False,0.9901934869293803,0.0,False
Max,eval,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,583,118,21,5874,0,0.8316690442225392,0.9652317880794702,0.019692923898531375,0.893486590038314,0.8907435508345979,0.9912134501631314,0.23999999976,3.265624996734375,1.7918367329020408,0.5,0.0,False,0.9901934869293803,0.0,False
NCT,train,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,10159,2313,488,79401,0,0.814544579858884,0.9541654926270311,0.028306043028122476,0.878844240667849,0.8778947368421053,0.9913117946309697,6.999999993,22.5624999774375,7.369795910997552,0.5,0.0,False,0.9894462528981498,0.0,False
NCT,eval,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,2553,594,110,19836,0,0.8112488083889419,0.9586932031543373,0.02907488986784141,0.8788296041308089,0.8760330578512396,0.9890453815994055,6.999999993,22.5624999774375,7.369795910997552,0.5,0.0,False,0.9894462528981498,0.0,False
SPILike,train,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,1224,180,159,45224,0,0.8717948717948718,0.8850325379609545,0.0039644084221654476,0.8783638320775027,0.8824580207216863,0.9976797843453548,39.31999996068,5.53124999446875,0.03755102037061225,0.5,0.0,False,0.9974665177432198,0.0,False
SPILike,eval,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,298,42,49,11311,0,0.8764705882352941,0.8587896253602305,0.003699462697084471,0.8675400291120815,0.8764367816091954,0.9978150730640075,39.31999996068,5.53124999446875,0.03755102037061225,0.5,0.0,False,0.9974665177432198,0.0,False
