dataset,split,geo_file,sim_file,tra_file,tp,fp,fn,tn,excluded,precision,recall,fpr,f1_score,best_f1,auc
COSI_Balloon,train,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,11,45,82,69627,0,0.19642857142857142,0.11827956989247312,0.0006458835687220117,0.1476510067114094,0.3125,0.9924677783580699
COSI_Balloon,eval,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,2,10,23,17410,0,0.16666666666666666,0.08,0.000574052812858783,0.10810810810810811,0.3064516129032258,0.9861400688863375
GeACT,train,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,3482,895,205,26309,0,0.7955220470641993,0.9443992405749932,0.03289957359211881,0.8635912698412699,0.8605333985808662,0.9870999283078993
GeACT,eval,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,856,234,67,6570,0,0.7853211009174312,0.9274106175514626,0.03439153439153439,0.8504719324391455,0.847675568743818,0.9836839173693633
Max,train,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,2244,538,166,23427,0,0.8066139468008627,0.9311203319502075,0.02244940538284999,0.864406779661017,0.8572527895344363,0.9910601819908529
Max,eval,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,560,113,44,5879,0,0.8320950965824666,0.9271523178807947,0.018858477970627504,0.8770555990602975,0.8712413261372398,0.9914003715771138
NCT,train,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,10255,2384,392,79330,0,0.8113774823957591,0.9631821170282708,0.02917492718506009,0.8807867388130207,0.878589290333707,0.9910800556377719
NCT,eval,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,2564,627,99,19803,0,0.8035098715136321,0.9628238828389035,0.030690161527165933,0.8759822343696617,0.8760301595651412,0.989081563875733
SPILike,train,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,1379,486,4,44918,0,0.7394101876675603,0.9971077368040492,0.01070390273984671,0.8491379310344827,0.8493234932349324,0.9971695662235842
SPILike,eval,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,343,117,4,11236,0,0.7456521739130435,0.9884726224783862,0.010305646084735312,0.8500619578686494,0.8504326328800988,0.9960079868186017
