dataset,split,geo_file,sim_file,tra_file,tp,fp,fn,tn,excluded,precision,recall,fpr,f1_score,best_f1,auc,rho_floor_1,rho_floor_2,rho_floor_3,joint_smoothing,marginal_smoothing,selection_accepted,cv_auc,threshold_offset,threshold_moved
COSI_Balloon,train,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,45,13,48,69659,0,0.7758620689655172,0.4838709677419355,0.00018658858651969228,0.5960264900662252,0.5138888888888888,0.9978178086690693,0.34420189215358077,0.43755097024249423,0.02889889732771193,0.06630527973175049,0.13871687650680542,True,0.9941232668068428,0.0,False
COSI_Balloon,eval,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,4,24,21,17396,0,0.14285714285714285,0.16,0.0013777267508610792,0.15094339622641512,0.234375,0.9902284730195178,0.34420189215358077,0.43755097024249423,0.02889889732771193,0.06630527973175049,0.13871687650680542,True,0.9941232668068428,0.0,False
GeACT,train,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,3572,953,115,26251,0,0.7893922651933701,0.9688093300786548,0.03503161299808852,0.8699464198733561,0.8702722680793397,0.990241921258967,0.11999999988,1.9843749980156251,2.903673466484082,0.5,0.0,False,0.9845516954902596,0.0,False
GeACT,eval,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,879,255,44,6549,0,0.7751322751322751,0.952329360780065,0.03747795414462081,0.8546426835196889,0.8547838756677999,0.9842239572286521,0.11999999988,1.9843749980156251,2.903673466484082,0.5,0.0,False,0.9845516954902596,0.0,False
Max,train,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,2338,543,72,23422,0,0.8115237764665046,0.9701244813278008,0.02265804297934488,0.8837648837648837,0.8860465116279069,0.9941305136380596,0.23999999976,3.265624996734375,1.7918367329020408,0.5,0.0,False,0.9890301010595257,0.0,False
Max,eval,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,583,118,21,5874,0,0.8316690442225392,0.9652317880794702,0.019692923898531375,0.893486590038314,0.8907435508345979,0.9912134501631314,0.23999999976,3.265624996734375,1.7918367329020408,0.5,0.0,False,0.9890301010595257,0.0,False
NCT,train,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,10159,2313,488,79401,0,0.814544579858884,0.9541654926270311,0.028306043028122476,0.878844240667849,0.8778947368421053,0.9913117946309697,6.999999993,22.5624999774375,7.369795910997552,0.5,0.0,False,0.9891995127310329,0.0,False
NCT,eval,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,2553,594,110,19836,0,0.8112488083889419,0.9586932031543373,0.02907488986784141,0.8788296041308089,0.8760330578512396,0.9890453815994055,6.999999993,22.5624999774375,7.369795910997552,0.5,0.0,False,0.9891995127310329,0.0,False
SPILike,train,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,1370,361,13,45043,0,0.7914500288850376,0.9906001446131598,0.007950841335565149,0.8798972382787411,0.8840813690668389,0.9977640204598764,10.744208588377571,1.7166419197531668,0.028346657048289512,1.5484060049057007,0.7703205347061157,True,0.9973998136033165,-1.5944137573242188,True
SPILike,eval,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,336,77,11,11276,0,0.8135593220338984,0.968299711815562,0.006782348277988197,0.8842105263157894,0.8894806924101198,0.9979605233264907,10.744208588377571,1.7166419197531668,0.028346657048289512,1.5484060049057007,0.7703205347061157,True,0.9973998136033165,-1.5944137573242188,True
