dataset,our_model_f1_score,ablation_f1_score,our_model_auc,ablation_auc,our_model_precision,ablation_precision,our_model_recall,ablation_recall
COSI_Balloon,0.27272727272727276,0.25974025974025977,0.9790229621125144,0.9819242250287027,0.21951219512195122,0.19230769230769232,0.36,0.4
GeACT,0.8613138686131386,0.8508557457212713,0.9821153810289448,0.9833077527192785,0.7818021201413428,0.7754010695187166,0.9588299024918743,0.942578548212351
Max,0.893486590038314,0.8649080735411672,0.9912134501631314,0.9918116539491949,0.8316690442225392,0.8361669242658424,0.9652317880794702,0.8956953642384106
NCT,0.8788296041308089,0.8740115972588298,0.9890453815994055,0.9896095659431866,0.8112488083889419,0.8213342140026421,0.9586932031543373,0.9339091250469396
SPILike,0.8288543140028288,0.8370165745856354,0.9969541719676616,0.996909841762762,0.8138888888888889,0.8037135278514589,0.8443804034582133,0.8731988472622478
mean (excl. COSI_Balloon),0.8656210941962726,0.856697997776726,0.9898320961897858,0.9904097035936055,0.8096522154104282,0.809153933909665,0.9317838242959737,0.9113454711899872
