dataset,our_model_f1_score,ablation_f1_score,our_model_auc,ablation_auc,our_model_precision,ablation_precision,our_model_recall,ablation_recall
COSI_Balloon,0.27272727272727276,0.06896551724137931,0.9790229621125144,0.9940233017255466,0.21951219512195122,0.3333333333333333,0.36,0.038461538461538464
GeACT,0.8613138686131386,0.8694376528117359,0.9821153810289448,0.9856906825568797,0.7818021201413428,0.7923351158645277,0.9588299024918743,0.9631635969664138
Max,0.893486590038314,0.8873563218390804,0.9912134501631314,0.991775181478174,0.8316690442225392,0.8259629101283881,0.9652317880794702,0.9586092715231788
NCT,0.8788296041308089,0.8733016304347826,0.9890453815994055,0.9884171610565081,0.8112488083889419,0.7957288765088208,0.9586932031543373,0.9676326684230335
SPILike,0.8288543140028288,0.8377125193199382,0.9969541719676616,0.9973889974938884,0.8138888888888889,0.8943894389438944,0.8443804034582133,0.7877906976744186
mean (excl. COSI_Balloon),0.8656210941962726,0.8669520311013843,0.9898320961897858,0.9908180056463626,0.8096522154104282,0.8271040853614077,0.9317838242959737,0.9192990586467611
