dataset,our_model_f1_score,ablation_f1_score,our_model_auc,ablation_auc,our_model_precision,ablation_precision,our_model_recall,ablation_recall
COSI_Balloon,0.27272727272727276,0.07407407407407407,0.9790229621125144,0.9790229621125144,0.21951219512195122,0.5,0.36,0.04
GeACT,0.8613138686131386,0.8613138686131386,0.9821153810289448,0.9821153810289448,0.7818021201413428,0.7818021201413428,0.9588299024918743,0.9588299024918743
Max,0.893486590038314,0.893486590038314,0.9912134501631314,0.9912134501631314,0.8316690442225392,0.8316690442225392,0.9652317880794702,0.9652317880794702
NCT,0.8788296041308089,0.8788296041308089,0.9890453815994055,0.9890453815994055,0.8112488083889419,0.8112488083889419,0.9586932031543373,0.9586932031543373
SPILike,0.8288543140028288,0.8206599713055954,0.9969541719676616,0.9969541719676616,0.8138888888888889,0.8171428571428572,0.8443804034582133,0.8242074927953891
mean (excl. COSI_Balloon),0.8656210941962726,0.8635725085219643,0.9898320961897858,0.9898320961897858,0.8096522154104282,0.8104657074739202,0.9317838242959737,0.9267405966302678
